ID,record,uid,date,time,status,Survey_start,Survey_end,vqtable1r0,vqtable1r1,vqtable1r2,vqtable2r0,vqtable2r1,vqtable3r0,vqtable3r1,vqtable3r2,vqtable3r3,vqtable3r4,vqtable3r5,vqtable3r6,vqtable3r7,vqtable3r8,vqtable4r0,vqtable4r1,vqtable5r0,vqtable5r1,vqtable5r2,vqtable5r3,vqtable5r4,vqtable5r5,vqtable6r0,vqtable6r1,vqtable7r0,vterm
1,1,heu8dtclm39j178g,08-10-2024,2AM  ,3,46:51.3,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
2,34,qshbxyvzgy4y0dcb,08-10-2024,9AM,3,26:42.9,,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
3,35,a1r9l2s8t2pj32x5,08-10-2024,10AM,1,38:30.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
4,36,jabs1nv9ah6vnzc1,08-10-2024,11AM,3,00:41.9,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
5,37,n24z148qvmp5oq0f,08-10-2024,12PM,4,26:02.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unspecified terminates
6,38,n24z148qvmp5oq0f,08-10-2024,12PM,4,26:05.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unspecified terminates
7,39,n24z148qvmp5oq0f,08-10-2024,12PM,3,26:34.9,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
8,40,qp82h4dviz6i1eoi,08-10-2024,12PM,4,34:14.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unspecified terminates
9,41,qp82h4dviz6i1eoi,08-10-2024,1PM,3,34:21.4,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
10,42,kvufqkcqpia9d17f,08-10-2024,1PM,3,22:09.5,,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,
11,43,qb5l74zrj5io788a,08-10-2024,2PM,1,41:08.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
12,44,gjbe2bh0qv5kaurs,08-10-2024,2PM,1,48:14.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
13,45,0v8j0u51r64klket,08-10-2024,2PM,1,33:53.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS1 Reside in Singapore
14,46,cn2l6vtuj4gtuzf5,08-10-2024,3PM,3,03:16.4,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,
15,47,mh2l0sb5rbh8kmlv,08-10-2024,4PM,3,40:29.2,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,
16,48,kua2dkjahnyq9lr1,08-10-2024,4PM,1,06:26.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
17,49,lfmb8ryplh6fp4n4,08-10-2024,5PM,3,17:10.5,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
18,50,wy78tp79w910spsh,08-10-2024,6PM,3,59:19.9,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
19,52,ru5tf49y3o2ar17q,08-10-2024,7PM,4,23:30.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unspecified terminates
20,52,ru5tf49y3o2ar17q,08-10-2024,8PM,3,23:34.1,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
21,53,klug1fxbrjtvkeh2,08-10-2024,8PM,1,03:08.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
22,54,27abknxfdysdvrfp,08-10-2024,9PM,4,17:49.6,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unspecified terminates
23,55,27abknxfdysdvrfp,08-10-2024,9PM,4,01:10.7,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unspecified terminates
24,56,pfwz62vagk6uckek,08-10-2024,9PM,1,02:06.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
25,57,27abknxfdysdvrfp,08-10-2024,9PM,4,28:23.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unspecified terminates
